order_id,customer_id,customer_age,customer_gender,city,restaurant_id,restaurant_name,cuisine,restaurant_rating,customer_rating,order_amount,delivery_distance_km,delivery_time_minutes,order_date,order_hour,payment_method,discount_applied,delivery_partner,is_late_delivery
100001,C00001,51,Male,Chennai,R0161,Restaurant_203,Pizza,3.9,3.8,476,1.4,9,2024-10-18,18,Cash,20,DP002,1
100002,C00002,18,Male,Bangalore,R0254,Restaurant_123,Desserts,4.5,4.9,498,4.7,27,2024-11-08,23,Cash,10,DP003,0
100003,C00003,47,Female,Chennai,R0142,Restaurant_387,Burger,4.7,4.9,526,5.6,22,2024-04-19,18,Wallet,10,DP005,1
100004,C00004,49,Female,Pune,R0383,Restaurant_412,North Indian,4.4,4.4,543,7.0,41,2024-06-18,18,Cash,0,DP001,1
100005,C00005,37,Female,Pune,R0238,Restaurant_213,Chinese,3.6,4.6,431,8.1,50,2024-11-06,4,Credit Card,15,DP002,0
100006,C00006,25,Male,Chennai,R0498,Restaurant_191,South Indian,4.6,3.9,510,8.6,37,2025-05-04,9,Credit Card,20,DP002,0
100007,C00007,52,Female,Mumbai,R0426,Restaurant_250,Biryani,3.8,4.3,401,2.5,12,2025-10-11,1,Credit Card,5,DP002,0
100008,C00008,36,Male,Pune,R0353,Restaurant_141,Pizza,4.2,3.9,517,13.3,76,2025-12-09,14,Cash,10,DP005,0
100009,C00009,19,Male,Delhi,R0435,Restaurant_235,Pizza,4.7,4.3,670,11.8,59,2024-08-31,11,Cash,5,DP002,1
100010,C00010,19,Female,Chennai,R0482,Restaurant_250,South Indian,4.5,3.5,541,12.9,71,2024-01-26,18,Credit Card,5,DP004,0
100011,C00011,38,Male,Kolkata,R0311,Restaurant_167,Chinese,4.5,4.2,541,13.3,79,2024-01-13,12,Credit Card,10,DP005,0
100012,C00012,49,Male,Chennai,R0409,Restaurant_82,Pizza,4.7,3.8,603,13.7,65,2024-07-05,2,Wallet,15,DP003,0
100013,C00013,23,Male,Chennai,R0375,Restaurant_191,South Indian,4.9,4.2,739,14.6,101,2024-09-08,21,UPI,0,DP002,0
100014,C00014,20,Female,Hyderabad,R0384,Restaurant_66,Biryani,4.8,4.3,762,11.2,57,2025-03-28,2,Cash,0,DP003,1
100015,C00015,20,Female,Hyderabad,R0299,Restaurant_171,Burger,4.2,3.5,661,6.1,36,2025-08-22,22,Debit Card,25,DP003,0
100016,C00016,45,Male,Hyderabad,R0156,Restaurant_235,Desserts,4.6,3.5,740,12.9,84,2025-07-24,8,Wallet,0,DP002,0
100017,C00017,37,Female,Pune,R0353,Restaurant_449,North Indian,3.5,4.2,392,1.9,9,2025-03-10,17,Debit Card,20,DP004,0
100018,C00018,35,Male,Hyderabad,R0397,Restaurant_69,Chinese,3.8,4.5,655,6.8,28,2025-06-08,17,Cash,0,DP003,1
100019,C00019,36,Male,Mumbai,R0287,Restaurant_111,South Indian,3.9,3.5,609,9.9,60,2024-08-29,8,Cash,5,DP002,0
100020,C00020,48,Female,Mumbai,R0113,Restaurant_6,North Indian,4.7,3.7,740,7.3,37,2024-11-17,11,Cash,10,DP002,0
100021,C00021,58,Female,Pune,R0067,Restaurant_363,Pizza,4.0,5.0,484,2.8,16,2024-11-06,18,UPI,25,DP005,1
100022,C00022,40,Female,Pune,R0118,Restaurant_463,Burger,4.5,4.6,610,11.1,70,2025-02-08,6,Wallet,20,DP005,1
100023,C00023,51,Female,Pune,R0312,Restaurant_470,Biryani,4.9,4.7,643,6.0,25,2025-09-20,11,Wallet,20,DP002,1
100024,C00024,19,Female,Delhi,R0394,Restaurant_297,Desserts,4.6,3.0,549,7.3,42,2024-04-07,4,Credit Card,20,DP004,1
100025,C00025,19,Male,Mumbai,R0025,Restaurant_204,Burger,3.7,3.3,569,6.9,47,2025-05-04,12,Cash,25,DP002,1
100026,C00026,35,Male,Mumbai,R0125,Restaurant_431,Chinese,3.7,4.8,550,11.8,48,2025-01-02,12,UPI,10,DP002,0
100027,C00027,30,Female,Chennai,R0286,Restaurant_497,North Indian,4.7,3.1,696,5.0,24,2025-01-30,4,UPI,10,DP003,0
